epoch,train acc,test acc,train loss,test loss
121,99.836,90.98,0.015483580846834025,0.29289146612722655
122,99.926,91.07,0.011486902198361284,0.28801775267407204
123,99.96,91.28,0.008893837953012875,0.2875329304914981
124,99.974,91.29,0.008044516018799477,0.2819088607172544
125,99.988,91.24,0.007007593194202127,0.2857018703722749
126,99.984,91.17,0.006675410332451369,0.2859867433258615
127,99.988,91.42,0.006164374540816761,0.27958571087991513
128,99.99,91.58,0.005993193077462441,0.2745650127625313
129,99.99,91.49,0.005633373258492992,0.27533565627964446
130,99.996,91.45,0.005384200256465626,0.2761851758874667
131,99.99,91.46,0.00517422362735408,0.27467969310181306
132,99.996,91.69,0.005144532949680681,0.27014972035514234
133,99.998,91.32,0.005156148275307136,0.27261829033595164
134,99.998,91.56,0.004770436563787676,0.2696989366989999
135,99.998,91.54,0.004907330807907088,0.26972792858478073
136,99.992,91.46,0.0047397044079061845,0.2733782480452983
137,99.996,91.7,0.0047834554752463065,0.26698911401886527
138,99.994,91.43,0.00478658608524534,0.26727022092414504
139,99.996,91.59,0.004506259700131465,0.269275481541888
140,99.996,91.59,0.0046679564646739564,0.26826240319592026
141,99.998,91.54,0.004585033783491615,0.26915049482398806
142,99.998,91.62,0.004560145510633798,0.2638133684807002
143,99.998,91.67,0.004833627284757116,0.2619604252534695
144,99.998,91.78,0.00460958634845058,0.26284333685942635
145,100.0,91.65,0.004559621315007649,0.2640818427346599
146,99.998,91.56,0.0044914339454540705,0.26172705633065907
147,99.998,91.71,0.004376236960506073,0.26193915371792004
148,100.0,91.62,0.004633953169486363,0.2658700204377
149,99.998,91.74,0.0046366269572343626,0.26003078469476953
150,100.0,91.76,0.004448160564962486,0.26252878384706313
151,100.0,91.81,0.0044424016126139556,0.259742385874422
152,99.998,91.55,0.0044418138204072736,0.2610675446933117
153,99.998,91.61,0.0045163162124208555,0.2645152431760971
154,100.0,91.84,0.004634988587990198,0.2592309821150102
155,99.998,91.77,0.004604563322783729,0.2586175360919211
156,100.0,91.78,0.004357999856333515,0.25811380517785065
157,100.0,91.79,0.004466706996301567,0.2572646552470688
158,99.998,91.51,0.0045653460014037075,0.2649076731976705
159,100.0,91.82,0.004520265628319765,0.2562723785978013
160,100.0,91.44,0.004402600897336646,0.26403358214484235
161,99.996,91.9,0.004528403728908394,0.2564942967979767
162,100.0,91.6,0.004425744126417977,0.25681392992504487
163,99.998,91.74,0.0043758985033659215,0.2580916735376365
164,100.0,91.84,0.004247813979899648,0.25453429369511793
165,100.0,91.86,0.004332524556682998,0.2543701461751383
166,100.0,91.57,0.004269478905106455,0.25676637182172873
167,100.0,91.71,0.004474626716158709,0.25900228129336816
168,100.0,91.7,0.004344616932448855,0.2579771435072723
169,100.0,91.71,0.004314477092175913,0.25694529457797355
170,100.0,91.77,0.004340405994445271,0.25796251426846645
171,99.998,91.83,0.004399494265840149,0.2557885101535164
172,100.0,91.78,0.004301377043669646,0.2558954487682674
173,100.0,91.84,0.0043027441262226416,0.2566406611745921
174,100.0,91.7,0.004245115725308065,0.2565390438662645
175,99.998,91.77,0.004300218177256213,0.25815319553755534
176,100.0,91.82,0.004265462954275987,0.2568342600660488
177,100.0,91.74,0.004309481331603083,0.2590978255632301
178,100.0,91.72,0.004191640436121097,0.25772874059970863
179,99.996,91.82,0.004403583085958704,0.25491757191027314
180,100.0,91.66,0.00431933479490246,0.2587047006024387
181,100.0,91.67,0.004388863024401931,0.25746983292099007
182,100.0,91.74,0.004465489773263277,0.25753553264949935
183,100.0,91.56,0.004380533707960344,0.25757535363729006
184,99.998,91.74,0.004416868535473154,0.2555143639546471
185,100.0,91.82,0.004359424511588614,0.25699890487211435
186,100.0,91.7,0.004300651364590048,0.2583701342237167
187,100.0,91.65,0.004205488053139154,0.25810397833811877
188,100.0,91.93,0.004202528960373603,0.25314862556910267
189,100.0,91.65,0.004309216745347333,0.258332694398638
190,100.0,91.63,0.004373878742631058,0.2593765137657618
191,99.998,91.67,0.004508595368589536,0.25864464391808445
192,99.998,91.79,0.0043655613925747735,0.25597066762217413
193,100.0,91.78,0.004323278299874852,0.2556669114413448
194,100.0,91.7,0.004436379577949648,0.256619701644007
195,100.0,91.8,0.004411335236685481,0.2556554828606808
196,100.0,91.58,0.0044242092950468595,0.25732846817852684
197,100.0,91.71,0.0042938522146764475,0.25815822783940895
198,100.0,91.73,0.004438634995509342,0.2563614471794698
199,100.0,91.93,0.004384998173434442,0.2546142293467594
